project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,893eb60c-2259-4ac4-9c31-4a10dd3cf5d4,IMG_6774.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/bfceebcf-d406-443a-928c-7114e90ff9e4.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 09:12:20,1,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,e07af526-ed9c-4237-80d0-5ed7296ed62e,IMG_6775.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/1f15a1eb-e5eb-4be3-b233-72edb3d0411b.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 09:12:20,1,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,a44e0cb4-7fe5-48de-b8d3-068f4b9e4397,IMG_6766.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/a22df1c4-eacc-4144-96e2-7690d39950ac.JPG,0,Maria Patricia  Berrio,22976d14-d424-4f18-a67a-d8e1689cefcc,Mammalia,Carnivora,Felidae,Leopardus,pardalis,Ocelot,,2022-10-24 05:07:50,1,,,,,,,true,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,f1e58d07-35ec-48ee-86ed-6ced7990318d,IMG_6776.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/8b691e10-7592-42b1-a6e3-bc755cec964d.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 09:12:22,1,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,cd4d1a37-a1bb-461e-845c-67faebd60d25,IMG_6871.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/960855e0-abee-491e-9c75-96edb94e16be.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:28:46,2,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,2410b16c-90d7-4209-9741-2bc50bc39158,IMG_6872.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/de1aff78-3722-4f79-8a06-afa28fc14000.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:28:46,2,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,aac320ea-dc42-413a-b501-e94ca9ab56a2,IMG_6873.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/6c634d58-96c9-4ef5-a8d4-903232eb0249.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:28:55,2,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,47cdf0f1-8828-4767-93d5-3f1205fe900d,IMG_6874.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/249af813-ba44-466f-bbd2-bf70a44ee8db.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:28:55,1,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,c676d048-f12f-417d-b572-e9894ab7e8f4,IMG_6875.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/dd4e87bb-138d-4289-b503-40fa50a40c79.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:29:04,2,,,,,,,false,,,CC-BY-NC
2004631,DCT_Fibtex_RN_El_Amparo_C1_2022,8cae66a2-6cc1-498e-95b7-db1ddeefef38,IMG_6876.JPG,gs://145625598251_2004631_850_dct_fibtex_rn_el_amp__main/deployment/2184868/a79dd4f7-268d-402b-9a05-087deb7e2c51.JPG,0,Maria Patricia  Berrio,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2022-10-24 11:29:04,1,,,,,,,false,,,CC-BY-NC
