project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2006789,DCT_ReservaNaturalVia_C1_2023,78f74c39-fc80-4b5a-ba96-d700b4b28918,DSCF0119.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/78f74c39-fc80-4b5a-ba96-d700b4b28918.JPG,0,Angélica Diaz Pulido,a1b2e45b-6191-4584-80aa-bf7c5503f589,Aves,Passeriformes,Turdidae,Turdus,fuscater,Great Thrush,,2023-10-19 03:18:32,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,3cd41e4f-29c4-4c9c-a201-542c524e6b51,DSCF0123.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/3cd41e4f-29c4-4c9c-a201-542c524e6b51.JPG,0,Angélica Diaz Pulido,a1b2e45b-6191-4584-80aa-bf7c5503f589,Aves,Passeriformes,Turdidae,Turdus,fuscater,Great Thrush,,2023-10-19 19:25:41,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,7176f553-5cee-4c28-9c3a-e5701ea067c1,DSCF0089.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/7176f553-5cee-4c28-9c3a-e5701ea067c1.JPG,0,Danny Guillermo Villa Manrique,c5ae795b-300f-4cc7-99f7-e2c2d2810a87,Mammalia,Carnivora,Felidae,Leopardus,tigrinus,Northern Tiger Cat,,2023-10-03 18:04:10,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,751d89b4-d8ce-4704-ab73-4681151ca149,DSCF0097.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/751d89b4-d8ce-4704-ab73-4681151ca149.JPG,0,Danny Guillermo Villa Manrique,936b55fb-1347-4dc9-8478-69799f5e877f,Mammalia,Carnivora,Procyonidae,Nasuella,olivacea,Western Mountain Coati,,2023-10-07 04:52:43,1,,,,,,,true,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,4c6b24e8-f204-4aa0-9c4a-e67ec62b5e5e,DSCF0103.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/4c6b24e8-f204-4aa0-9c4a-e67ec62b5e5e.JPG,0,Danny Guillermo Villa Manrique,871ffea0-e0f3-4739-ac7f-4375aeeca8e0,Mammalia,Rodentia,Cuniculidae,Cuniculus,taczanowskii,Mountain Paca,,2023-10-09 16:12:11,1,,,,,,,true,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,405dc39c-5527-4a9e-9b6d-7588eb015a0d,DSCF0107.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/405dc39c-5527-4a9e-9b6d-7588eb015a0d.JPG,0,Danny Guillermo Villa Manrique,90d950db-2106-4bd9-a4c1-777604c3eada,Mammalia,Rodentia,,,,Rodent,,2023-10-10 06:42:46,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,a764e06e-529e-406c-b28c-0f7da5a0dc3c,DSCF0113.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/a764e06e-529e-406c-b28c-0f7da5a0dc3c.JPG,0,Danny Guillermo Villa Manrique,871ffea0-e0f3-4739-ac7f-4375aeeca8e0,Mammalia,Rodentia,Cuniculidae,Cuniculus,taczanowskii,Mountain Paca,,2023-10-12 16:32:44,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,68df8c4b-0271-492e-9fae-85c375a9578c,DSCF0091.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/68df8c4b-0271-492e-9fae-85c375a9578c.JPG,0,Danny Guillermo Villa Manrique,871ffea0-e0f3-4739-ac7f-4375aeeca8e0,Mammalia,Rodentia,Cuniculidae,Cuniculus,taczanowskii,Mountain Paca,,2023-10-04 15:53:07,1,,,,,,,false,,,CC-BY-NC
2006789,DCT_ReservaNaturalVia_C1_2023,dc7c28f7-219b-4bf8-a5af-273513f0f006,DSCF0125.JPG,gs://145625598251_2006789_499_dct_reservanaturalvi__main/deployment/2261022/prod/directUpload/dc7c28f7-219b-4bf8-a5af-273513f0f006.JPG,0,Angélica Diaz Pulido,a1b2e45b-6191-4584-80aa-bf7c5503f589,Aves,Passeriformes,Turdidae,Turdus,fuscater,Great Thrush,,2023-10-20 00:30:48,1,,,,,,,false,,,CC-BY-NC
