project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2006900,DCT_GUBICA_GUBICA2,ae1708ea-99cf-4ece-85b4-74cf69364029,10240011.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/ae1708ea-99cf-4ece-85b4-74cf69364029.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia,,,,,Mammal,,2023-10-24 15:17:49,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA4,4fbd4192-92f3-43a3-915e-0a18fa3d6ba3,10260013.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265867/prod/directUpload/4fbd4192-92f3-43a3-915e-0a18fa3d6ba3.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,9c564562-9429-405c-8529-04cff7752282,Mammalia,Carnivora,Felidae,Puma,concolor,Puma,,2023-10-26 17:58:09,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA4,1b6e9f29-0540-4865-8e2f-9a5f65e7ec25,10260014.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265867/prod/directUpload/1b6e9f29-0540-4865-8e2f-9a5f65e7ec25.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,9c564562-9429-405c-8529-04cff7752282,Mammalia,Carnivora,Felidae,Puma,concolor,Puma,,2023-10-26 17:58:10,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,ed2ceef4-f8dd-497a-ae36-819bbce09df4,10280037.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/ed2ceef4-f8dd-497a-ae36-819bbce09df4.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:31:47,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,ed2ceef4-f8dd-497a-ae36-819bbce09df4,10280037.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/ed2ceef4-f8dd-497a-ae36-819bbce09df4.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia,,,,,Mammal,,2023-10-28 05:31:47,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,4e35ec9e-4a5a-44e6-9ed0-dbc07fed90ef,10280038.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/4e35ec9e-4a5a-44e6-9ed0-dbc07fed90ef.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:31:48,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,4e35ec9e-4a5a-44e6-9ed0-dbc07fed90ef,10280038.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/4e35ec9e-4a5a-44e6-9ed0-dbc07fed90ef.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,eeeb5d26-2a47-4d01-a3de-10b33ec0aee4,Mammalia,Carnivora,,,,Carnivorous Mammal,,2023-10-28 05:31:48,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,bc43dfe1-91ac-47f7-9c7d-a3192e2c2ac8,10280039.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/bc43dfe1-91ac-47f7-9c7d-a3192e2c2ac8.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:31:49,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,bc43dfe1-91ac-47f7-9c7d-a3192e2c2ac8,10280039.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/bc43dfe1-91ac-47f7-9c7d-a3192e2c2ac8.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia,,,,,Mammal,,2023-10-28 05:31:49,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,30bb3b57-1461-42a3-9eef-a4d1420a7dc7,10280041.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/30bb3b57-1461-42a3-9eef-a4d1420a7dc7.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:32:12,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,30bb3b57-1461-42a3-9eef-a4d1420a7dc7,10280041.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/30bb3b57-1461-42a3-9eef-a4d1420a7dc7.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammalia,,,,,Mammal,,2023-10-28 05:32:12,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,fece11d6-8af1-4e97-91c3-c2267b56e2fb,10280042.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/fece11d6-8af1-4e97-91c3-c2267b56e2fb.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:32:13,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,fece11d6-8af1-4e97-91c3-c2267b56e2fb,10280042.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/fece11d6-8af1-4e97-91c3-c2267b56e2fb.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2efdae9-efb8-48fb-8a91-eccf79ab4ffb,No CV Result,No CV Result,No CV Result,No CV Result,No CV Result,No CV Result,,2023-10-28 05:32:13,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,0addf8df-ae25-4acf-b979-3a0760c3cb03,10280043.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/0addf8df-ae25-4acf-b979-3a0760c3cb03.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-10-28 05:32:14,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,0addf8df-ae25-4acf-b979-3a0760c3cb03,10280043.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/0addf8df-ae25-4acf-b979-3a0760c3cb03.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,f2efdae9-efb8-48fb-8a91-eccf79ab4ffb,No CV Result,No CV Result,No CV Result,No CV Result,No CV Result,No CV Result,,2023-10-28 05:32:14,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,1d963b9c-e3d8-4f06-a4e5-8d321f2b98f9,11090321.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/1d963b9c-e3d8-4f06-a4e5-8d321f2b98f9.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,1f689929-883d-4dae-958c-3d57ab5b6c16,,,,,,Animal,,2023-11-09 17:16:53,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,1d963b9c-e3d8-4f06-a4e5-8d321f2b98f9,11090321.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/1d963b9c-e3d8-4f06-a4e5-8d321f2b98f9.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-11-09 17:16:53,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,5b77bc0c-8bae-486d-b22e-1d02f67e801f,11090322.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/5b77bc0c-8bae-486d-b22e-1d02f67e801f.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,1f689929-883d-4dae-958c-3d57ab5b6c16,,,,,,Animal,,2023-11-09 17:16:54,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,5b77bc0c-8bae-486d-b22e-1d02f67e801f,11090322.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/5b77bc0c-8bae-486d-b22e-1d02f67e801f.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-11-09 17:16:54,1,,,,,,,false,,,CC-BY-NC
2006900,DCT_GUBICA_GUBICA2,2ebbe491-7eda-4dcd-8773-14c5dfcf1786,11120369.JPG,gs://145625598251_2006900_944_grupo_gubica__main/deployment/2265864/prod/directUpload/2ebbe491-7eda-4dcd-8773-14c5dfcf1786.JPG,0,Grupo Guardianes de la Biodiversidad Campoalegruna GUBICA,527c9d88-4d7d-4406-add9-c0a823697926,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Central American Agouti,,2023-11-12 19:21:54,1,,,,,,,false,,,CC-BY-NC
