project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2002517,CTPC 102,"CTPC 102, vereda Cupiagua, Aguazul, Casanare",-72.6329,5.2229,2020-11-28 00:00:00,2021-01-13 00:00:00,None,,Other,,2010898,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 051,"CTPC 051, Vereda Zambo, Tauramena, Casanare",-72.7946,5.1128,2020-12-10 00:00:00,2021-01-15 00:00:00,None,,Other,,2010766,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 061,"CTPC 061, Vereda Visinaca, Tauramena, Casanare",-72.7516,5.1499,2020-12-12 00:00:00,2021-01-16 00:00:00,None,,Other,,2010768,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 145,"CTPC 145, Vereda Morro, Yopal, Casanare",-72.4607,5.4846,2020-11-11 00:00:00,2021-01-20 00:00:00,None,,Other,,2010704,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 091,"CTPC 091, Vereda Monterralo, Aguazul, Casanare",-72.6512,5.2137,2020-11-21 00:00:00,2021-01-20 00:00:00,None,,Other,,2010819,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 010,"CTPC 010, vereda Aceite Alto, Tauramena, Casanare",-72.7067,4.9789,2020-11-27 00:00:00,2021-01-12 00:00:00,None,,Other,,2010708,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 088,"CTPC 088, Vereda Unete, Aguazul, Casanare",-72.625,5.2042,2020-11-27 00:00:00,2021-01-19 00:00:00,None,,Other,,2010815,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 027,"CTPC 027, Vereda Aceite Alto, Tauramena, Casanare",-72.7244,5.0046,2020-11-27 00:00:00,2021-01-10 00:00:00,None,,Other,,2010738,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 008,"CTPC 008, vereda Chaparral, Tauramena, Casanare",-72.7224,4.9774,2020-11-27 00:00:00,2021-01-11 00:00:00,None,,Other,,2010881,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 135,"CTPC 135, vereda Marroquín, corregimiento El Morro, Casanare",-72.4432,5.4933,2020-12-13 00:00:00,2021-01-24 00:00:00,None,,Other,,2010885,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 045,"CTPC 045, Vereda Zambo, Tauramena, Casanare",-72.7967,5.0962,2020-12-10 00:00:00,2021-01-14 00:00:00,None,,Other,,2010757,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 107,"CTPC 107, Vereda Unete, Aguazul, Casanare",-72.5867,5.223,2020-11-21 00:00:00,2021-01-15 00:00:00,None,,Other,,2010746,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 013,"CTPC 013, vereda Chaparral, Tauramena, Casanare",-72.7316,4.9874,2020-11-27 00:00:00,2021-01-13 00:00:00,None,,Other,,2010889,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 126,"CTPC 126, vereda El Triunfo, Aguazul, Casanare",-72.5797,5.2586,2020-11-27 00:00:00,2021-01-16 00:00:00,None,,Other,,2010743,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 049,"CTPC 049, Vereda Zambo, Tauramena, Casanare",-72.8138,5.1147,2020-12-07 00:00:00,2021-01-14 00:00:00,None,,Other,,2010754,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 047,"CTPC 047, Vereda Zambo, Tauramena, Casanare",-72.8052,5.1053,2020-12-11 00:00:00,2021-01-14 00:00:00,None,,Other,,2010785,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 143,"CTPC 143, vereda Marroquín, Yopal, Casanare",-72.4253,5.4746,2020-11-14 00:00:00,2021-01-26 00:00:00,None,,Other,,2009856,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 146,"CTPC 146, Vereda Morro, Yopal, Casanare",-72.4526,5.4843,2020-11-11 00:00:00,2021-01-26 00:00:00,None,,Other,,2010780,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 098,"CTPC 098, vereda Unete, Aguazul, Casanare",-72.5889,5.2133,2020-11-21 00:00:00,2021-01-20 00:00:00,None,,Other,,2010897,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 032,"CTPC 032, Vereda Aceite Alto, Tauramena, Casanare",-72.7318,5.0133,2020-11-29 00:00:00,2021-01-13 00:00:00,None,,Other,,2010741,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 055,"CTPC 055, vereda Visinaca, Tauramena, Casanare",-72.7434,5.113,2020-12-12 00:00:00,2021-01-15 00:00:00,None,,Other,,2010832,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 038,"CTPC 038, vereda Bendiciones, Tauramena, Casanare",-72.8126,5.0758,2020-12-11 00:00:00,2021-01-22 00:00:00,None,,Other,,2010718,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 127,"CTPC 127, corregimiento de El Morro, Yopal, Casanare",-72.4643,5.4587,2020-11-13 00:00:00,2021-01-23 00:00:00,None,,Other,,2010893,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 132,"CTPC 132, Vereda La Libertad, Yopal, Casanare",-72.4153,5.4568,2020-11-16 00:00:00,2021-01-24 00:00:00,None,,Other,,2010884,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 105,"CTPC 105, Vereda Cupiagua, Aguazul, Casanare",-72.6046,5.2246,2020-12-01 00:00:00,2021-01-17 00:00:00,None,,Other,,2010826,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
